٢٣-٠١-٢٠٢٠ ٠٠:٠٨:٥٦.٢٠٢ [restartedMain] INFO  com.mandob.MandobDemoApplication.logStarting - Starting MandobDemoApplication on DESKTOP-INV2J7Q with PID 21236 (C:\Users\EGYPT\Downloads\mandob-demo\target\classes started by EGYPT in C:\Users\EGYPT\Downloads\mandob-demo)
٢٣-٠١-٢٠٢٠ ٠٠:٠٨:٥٦.٢١١ [restartedMain] INFO  com.mandob.MandobDemoApplication.logStartupProfileInfo - No active profile set, falling back to default profiles: default
٢٣-٠١-٢٠٢٠ ٠٠:٠٨:٥٦.٢٦٦ [restartedMain] INFO  o.s.b.d.restart.ChangeableUrls.logTo - The Class-Path manifest attribute in C:\Users\EGYPT\.m2\repository\org\glassfish\jaxb\jaxb-runtime\2.3.2\jaxb-runtime-2.3.2.jar referenced one or more files that do not exist: file:/C:/Users/EGYPT/.m2/repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/jakarta.xml.bind-api-2.3.2.jar,file:/C:/Users/EGYPT/.m2/repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/txw2-2.3.2.jar,file:/C:/Users/EGYPT/.m2/repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/istack-commons-runtime-3.0.8.jar,file:/C:/Users/EGYPT/.m2/repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/stax-ex-1.8.1.jar,file:/C:/Users/EGYPT/.m2/repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/FastInfoset-1.2.16.jar,file:/C:/Users/EGYPT/.m2/repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/jakarta.activation-api-1.2.1.jar
٢٣-٠١-٢٠٢٠ ٠٠:٠٨:٥٦.٢٦٧ [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor.logTo - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
٢٣-٠١-٢٠٢٠ ٠٠:٠٨:٥٦.٢٦٧ [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor.logTo - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
٢٣-٠١-٢٠٢٠ ٠٠:٠٨:٥٧.٥٦٧ [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
٢٣-٠١-٢٠٢٠ ٠٠:٠٨:٥٧.٧١٦ [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Finished Spring Data repository scanning in 137ms. Found 9 JPA repository interfaces.
٢٣-٠١-٢٠٢٠ ٠٠:٠٨:٥٨.٢٩٣ [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization - Bean 'org.springframework.ws.config.annotation.DelegatingWsConfiguration' of type [org.springframework.ws.config.annotation.DelegatingWsConfiguration$$EnhancerBySpringCGLIB$$4c75aacb] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
٢٣-٠١-٢٠٢٠ ٠٠:٠٨:٥٨.٣٦٢ [restartedMain] INFO  o.s.w.s.a.s.AnnotationActionEndpointMapping.afterPropertiesSet - Supporting [WS-Addressing August 2004, WS-Addressing 1.0]
٢٣-٠١-٢٠٢٠ ٠٠:٠٨:٥٨.٣٧٩ [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
٢٣-٠١-٢٠٢٠ ٠٠:٠٨:٥٨.٧٢٤ [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer.initialize - Tomcat initialized with port(s): 8011 (http)
٢٣-٠١-٢٠٢٠ ٠٠:٠٨:٥٨.٧٣٦ [restartedMain] INFO  o.a.catalina.core.StandardService.log - Starting service [Tomcat]
٢٣-٠١-٢٠٢٠ ٠٠:٠٨:٥٨.٧٣٧ [restartedMain] INFO  o.a.catalina.core.StandardEngine.log - Starting Servlet engine: [Apache Tomcat/9.0.29]
٢٣-٠١-٢٠٢٠ ٠٠:٠٨:٥٨.٨٥٧ [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring embedded WebApplicationContext
٢٣-٠١-٢٠٢٠ ٠٠:٠٨:٥٨.٨٥٨ [restartedMain] INFO  o.s.web.context.ContextLoader.prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 2590 ms
٢٣-٠١-٢٠٢٠ ٠٠:٠٨:٥٨.٩١٢ [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource.getConnection - HikariPool-1 - Starting...
٢٣-٠١-٢٠٢٠ ٠٠:٠٨:٥٩.٣٦٢ [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource.getConnection - HikariPool-1 - Start completed.
٢٣-٠١-٢٠٢٠ ٠٠:٠٨:٥٩.٣٦٩ [restartedMain] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration.lambda$h2Console$0 - H2 console available at '/h2-console'. Database available at 'jdbc:mysql://localhost:3306/tajertec_mandoob'
٢٣-٠١-٢٠٢٠ ٠٠:٠٨:٥٩.٥٣٤ [restartedMain] INFO  o.h.jpa.internal.util.LogHelper.logPersistenceUnitInformation - HHH000204: Processing PersistenceUnitInfo [name: default]
٢٣-٠١-٢٠٢٠ ٠٠:٠٨:٥٩.٦٢٨ [restartedMain] INFO  org.hibernate.Version.logVersion - HHH000412: Hibernate Core {5.4.9.Final}
٢٣-٠١-٢٠٢٠ ٠٠:٠٨:٥٩.٧٥٠ [restartedMain] INFO  o.h.annotations.common.Version.<clinit> - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
٢٣-٠١-٢٠٢٠ ٠٠:٠٨:٥٩.٨٦٢ [restartedMain] INFO  org.hibernate.dialect.Dialect.<init> - HHH000400: Using dialect: org.hibernate.dialect.MySQL55Dialect
٢٣-٠١-٢٠٢٠ ٠٠:٠٩:٠١.٢٨٦ [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator.initiateService - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
٢٣-٠١-٢٠٢٠ ٠٠:٠٩:٠١.٢٩٣ [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean.buildNativeEntityManagerFactory - Initialized JPA EntityManagerFactory for persistence unit 'default'
٢٣-٠١-٢٠٢٠ ٠٠:٠٩:٠١.٣١١ [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer.startServer - LiveReload server is running on port 35729
٢٣-٠١-٢٠٢٠ ٠٠:٠٩:٠٢.٣٥٥ [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration.openEntityManagerInViewInterceptor - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
٢٣-٠١-٢٠٢٠ ٠٠:٠٩:٠٢.٤٨٠ [restartedMain] INFO  o.s.s.c.ThreadPoolTaskExecutor.initialize - Initializing ExecutorService 'applicationTaskExecutor'
٢٣-٠١-٢٠٢٠ ٠٠:٠٩:٠٢.٦٣٠ [restartedMain] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration.checkTemplateLocationExists - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
٢٣-٠١-٢٠٢٠ ٠٠:٠٩:٠٢.٧٨٩ [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer.start - Tomcat started on port(s): 8011 (http) with context path ''
٢٣-٠١-٢٠٢٠ ٠٠:٠٩:٠٢.٧٩١ [restartedMain] INFO  com.mandob.MandobDemoApplication.logStarted - Started MandobDemoApplication in 7.093 seconds (JVM running for 9.411)
٢٣-٠١-٢٠٢٠ ٠٠:٠٩:٤٥.٨٦٥ [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor.shutdown - Shutting down ExecutorService 'applicationTaskExecutor'
٢٣-٠١-٢٠٢٠ ٠٠:٠٩:٤٥.٨٦٥ [SpringContextShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean.destroy - Closing JPA EntityManagerFactory for persistence unit 'default'
٢٣-٠١-٢٠٢٠ ٠٠:٠٩:٤٥.٨٨٢ [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource.close - HikariPool-1 - Shutdown initiated...
٢٣-٠١-٢٠٢٠ ٠٠:٠٩:٤٥.٨٩٦ [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource.close - HikariPool-1 - Shutdown completed.
